station_id,latitude,longitude,elevation,state,name,additional_info
USW00000102,66.9831,-160.4331,51.2,AK,BOB BARKER MEMORIAL AP,
USW00000103,65.6169,-168.1,7.0,AK,WALES AP,
USW00000111,64.37,-161.2239,7.0,AK,SHAKTOOLIK AP,
USW00000113,66.8181,-161.0219,17.1,AK,ROBERT CURTIS MEMORIAL AP,
USW00000130,28.95,-98.5169,131.1,TX,PLEASANTON MUNI AP,
USW00000132,44.0331,-89.3,262.1,WI,WAUTOMA MUNI AP,
USW00000133,35.6,-92.45,157.3,AR,CLINTON MUNI AP,
USW00000153,37.4,-77.5169,72.2,VA,CHESTERFIELD CO AP,
USW00000154,36.7831,-76.45,7.0,VA,HAMPTON ROADS EXECUTIVE AP,
USW00000157,40.75,-106.2669,2486.3,CO,WALDEN JACKSON COUNTY AP,
USW00000160,40.0331,-105.2169,1612.1,CO,BOULDER MUNI AP,
USW00000166,30.5,-97.9669,375.2,TX,LAGO VISTA RUSTY ALLEN AP,
USW00000176,32.7169,-98.8919,391.1,TX,STEPHENS COUNTY AP,
USW00000209,33.6,-97.7831,336.2,TX,BOWIE MUNI AP,
USW00000225,30.5331,-98.3669,333.1,TX,HORSESHOE BAY RESORT AP,
USW00000229,31.1061,-98.1961,370.0,TX,LAMPASAS AP,
USW00000230,30.395,-97.5669,188.1,TX,AUSTIN EXECUTIVE AP,
USW00000263,29.7239,-98.695,422.1,TX,BOERNE STAGE FIELD AP,
USW00000270,28.2089,-100.0189,236.2,TX,FAITH RCH AP,
USW00000349,32.3311,-102.53,967.1,TX,ANDREWS COUNTY AP,
USW00000351,30.8789,-96.9711,123.1,TX,CAMERON MUNI AP,
USW00000357,31.6661,-98.1489,396.2,TX,HAMILTON MUNI AP,
USW00000362,31.4169,-97.8,276.1,TX,GATESVILLE MUNI AP,
USW00000373,33.6169,-92.7669,40.2,AR,HARRELL FIELD AP,
USW00000393,65.2331,-166.35,89.0,AK,TELLER AP,
USW00000428,34.0997,-93.0661,55.8,AR,DEXTER B FLORENCE MEM FLD AP,
USW00000448,32.9306,-96.4356,175.3,TX,RALPH M HALL ROCKWALL MUNI AP,
USW00000461,31.6411,-96.5144,166.1,TX,MEXIA LIMESTONE COUNTY AP,
USW00000471,29.6342,-104.3614,896.1,TX,PRESIDIO LELY INTL AP,
USW00000477,29.5292,-97.4642,108.2,TX,ROGER M DREYER MEM AP,
USW00000490,66.8881,-157.1625,62.8,AK,SHUNGNAK AP,
USW00003012,36.45,-105.6667,2161.3,NM,TAOS MUNI AP,
USW00003013,38.0717,-102.6875,1124.1,CO,LAMAR MUNI AP,
USW00003016,39.5278,-107.7197,1684.0,CO,RIFLE GARFIELD CO AP,
USW00003017,39.8467,-104.6561,1647.1,CO,DENVER INTL AP,
USW00003024,35.695,-101.3956,926.9,TX,BORGER HUTCHINSON CO AP,
USW00003026,39.2414,-102.2819,1278.3,CO,BURLINGTON CARSON AP,
USW00003029,35.6569,-109.0603,2055.3,AZ,WINDOW ROCK AP,
USW00003030,36.6819,-101.5053,948.8,OK,GUYMON MUNI AP,
USW00003032,30.0481,-102.2128,701.0,TX,DRYDEN TERRELL CO AP,
USW00003035,32.8525,-104.4675,1079.3,NM,ARTESIA MUNI AP,
USW00003044,32.2125,-101.5214,784.3,TX,BIG SPRING WRINKLE AP,
USW00003049,30.3833,-103.6833,1375.6,TX,ALPINE CASPARIS AP,
USW00003050,32.6933,-100.9506,740.7,TX,SNYDER WINSTON FLD AP,
USW00003056,32.6753,-102.6544,1010.4,TX,GAINES CO AP,
USW00003058,31.3825,-103.5108,796.4,TX,PECOS MUNI AP,
USW00003102,34.0531,-117.5769,281.6,CA,ONTARIO INTL AP,
USW00003103,35.1442,-111.6664,2133.3,AZ,FLAGSTAFF AP,
USW00003104,33.6317,-116.1642,-36.0,CA,DESERT RESORTS RGNL AP,
USW00003122,33.8017,-118.3411,27.4,CA,TORRANCE AP,
USW00003144,32.8347,-115.5767,-16.8,CA,IMPERIAL CO AP,
USW00003160,36.6206,-116.0278,984.5,NV,DESERT ROCK AP,
USW00003162,36.9211,-111.4486,1307.0,AZ,PAGE MUNI AP,
USW00003166,33.8717,-117.9855,26.2,CA,FULLERTON MUNI AP,
USW00003167,33.9236,-118.3328,16.8,CA,HAWTHORNE MUNI AP,
USW00003170,39.6014,-116.0056,1809.3,NV,EUREKA AP,
USW00003171,33.9528,-117.4353,257.6,CA,RIVERSIDE MUNI AP,
USW00003177,33.13,-117.2764,95.4,CA,CARLSBAD MCCLELLAN PALOMAR AP,
USW00003179,33.9756,-117.625,193.9,CA,CHINO AP,
USW00003184,33.6903,-112.0661,453.2,AZ,PHOENIX DEER VALLEY MUNI AP,
USW00003192,33.6122,-111.923,436.2,AZ,SCOTTSDALE MUNI AP,
USW00003195,35.9458,-112.1553,1993.4,AZ,GRAND CANYON NP AP,
USW00003196,31.4208,-110.8467,1193.0,AZ,NOGALES INTL AP,
USW00003802,39.3022,-80.2239,367.3,WV,CLARKSBURG BENEDUM AP,
USW00003804,39.3394,-81.4439,245.4,WV,PARKERSBURG AP,
USW00003809,36.0003,-89.4094,91.4,TN,DYERSBURG MUNI AP,
USW00003810,35.7419,-81.3822,356.6,NC,HICKORY FAA AP,
USW00003811,35.5933,-88.9169,129.2,TN,JACKSON MCKELLAR- SIPES AP,
USW00003812,35.4317,-82.5378,645.6,NC,ASHEVILLE AP,
USW00003813,32.6889,-83.6531,104.5,GA,MACON MIDDLE GA RGNL AP,
USW00003814,36.9667,-84.1333,359.1,KY,CORBIN CAA AP,
USW00003817,36.6,-89.9833,92.0,MO,MALDEN FAA AP,
USW00003818,30.8369,-85.1836,32.6,FL,MARIANNA MUNI AP,
USW00003820,33.3653,-81.9636,40.8,GA,AUGUSTA BUSH FLD AP,
USW00003822,32.1314,-81.2022,8.8,GA,SAVANNAH INTL AP,
USW00003838,38.9833,-89.1667,163.1,IL,VANDALIA FAA AP,
USW00003847,35.9508,-85.0814,568.5,TN,CROSSVILLE MEM AP,
USW00003849,37.0894,-84.0689,360.0,KY,LONDON CORBIN AP,
USW00003856,34.6442,-86.7861,189.9,AL,HUNTSVILLE INTNL AP,
USW00003859,37.2978,-81.2036,870.2,WV,BLUEFIELD MERCER CO AP,
USW00003860,38.3653,-82.5547,251.2,WV,HUNTINGTON TRI-STATE AP,
USW00003868,39.4428,-87.3219,172.8,IN,TERRE HAUTE HULMAN RGNL AP,
USW00003872,37.7836,-81.1228,760.2,WV,BECKLEY RALEIGH CO AP,
USW00003878,31.8575,-86.0103,118.6,AL,TROY MUNI AP,
USW00003882,30.2119,-85.6828,12.8,FL,PANAMA CITY BAY CO AP,
USW00003887,39.8308,-88.8719,205.1,IL,DECATUR AP,
USW00003888,33.7775,-84.5247,245.1,GA,ATLANTA FULTON CO AP,
USW00003892,32.6161,-85.4333,236.5,AL,AUBURN OPELIKA AP,
USW00003893,39.1431,-86.6167,253.3,IN,BLOOMINGTON MONROE CO AP,
USW00003894,36.6169,-87.4117,167.6,TN,CLARKSVILLE OUTLAW AP,
USW00003896,33.9667,-86.0833,173.4,AL,GADSDEN MUNI AP,
USW00003901,32.3908,-94.7139,107.3,TX,LONGVIEW E TX RGNL AP,
USW00003918,36.2908,-92.59,219.2,AR,FLIPPIN MARION CO RGNL AP,
USW00003919,38.78,-97.6444,385.0,KS,SALINA MUNI AP,
USW00003927,32.8975,-97.0219,165.8,TX,DAL-FTW WSCMO AP,
USW00003929,38.8439,-94.5603,321.9,MO,KANSAS CITY R GEBAUR AP,
USW00003932,35.3567,-99.2042,584.6,OK,CLINTON-SHERMAN AP,
USW00003935,37.2256,-89.5786,101.8,MO,CAPE GIRARDEAU MUNI AP,
USW00003938,37.75,-92.15,351.1,MO,WAYNESVILLE REGNL AP,
USW00003940,32.3197,-90.0778,90.2,MS,JACKSON INTL AP,
USW00003945,38.8169,-92.2147,272.2,MO,COLUMBIA RGNL AP,GSN
USW00003947,39.2975,-94.7308,307.2,MO,KANSAS CITY INTL AP,
USW00003950,34.5578,-98.4172,326.1,OK,LAWTON MUNI AP,
USW00003953,35.8356,-90.6442,78.9,AR,JONESBORO MUNI AP,
USW00003954,35.5411,-97.6472,390.1,OK,OKLAHOMA CITY WILEY POST AP,
